Rank, Player, Pos,Team,Bye,Pos Rk
261, Adam Humphries,WR,TB,94,
262, J.J. Nelson,WR,ARI,95,
263, Cole Beasley,WR,DAL,96,
264, Kenjon Barner,RB,PHI,81,
265, Kenyan Drake,RB,MIA,82,
266, Jay Cutler,QB,CHI,27,
267, Dak Prescott,QB,DAL,28,
268, Sam Bradford,QB,MIN,29,
269, Tony Romo,QB,DAL,30,
270, Trevor Siemian,QB,DEN,31,
271, Jared Abbrederis,WR,GB,97,
272, Ty Montgomery,WR,GB,98,
273, Albert Wilson,WR,KC,99,
274, Pharoh Cooper,WR,LA,100,
275, Leonte Carroo,WR,MIA,101,
276, Troymaine Pope,RB,NYJ,83,
277, Brandon Bolden,RB,NE,84,
278, Mike Davis,RB,SF,85,
279, Josh Ferguson,RB,IND,86,
280, Alfred Blue,RB,HOU,87,
281, Malcolm Brown,RB,LA,88,
282, Fozzy Whittaker,RB,CAR,89,
283, Jonathan Grimes,RB,HOU,90,
284, Kenneth Farrow,RB,SD,91,
285, Baltimore Ravens,DST,BAL,17,
286, Chicago Bears,DST,CHI,18,
287, Matt Bryant,K,ATL,17,
288, Jason Myers,K,JAC,18,
289, Will Tye,TE,NYG,30,
290, Jacob Tamme,TE,ATL,31,
291, Cameron Brate,TE,TB,32,
292, Lance Kendricks,TE,LA,33,
293, Tyler Higbee,TE,LA,34,
294, Andre Johnson,WR,TEN,102,
295, Rashad Greene,WR,JAC,103,
296, Blaine Gabbert,QB,SF,32,
297, Philadelphia Eagles,DST,PHI,19,
298, Detroit Lions,DST,DET,20,
299, Washington Redskins,DST,WAS,21,
300, Pittsburgh Steelers,DST,PIT,22,
1, Antonio Brown,WR,PIT,8,WR1
2, Odell Beckham Jr.,WR,NYG,8,WR2
3, Adrian Peterson,RB,MIN,6,RB1
4, Julio Jones,WR,ATL,11,WR3
5, Todd Gurley,RB,LA,8,RB2
6, Ezekiel Elliott,RB,DAL,7,RB3
7, DeAndre Hopkins,WR,HOU,9,WR4
8, David Johnson,RB,ARI,9,RB4
9, Devonta Freeman,RB,ATL,11,RB5
10, A.J. Green,WR,CIN,9,WR5
11, Rob Gronkowski,TE,NE,9,TE1
12, Le'Veon Bell,RB,PIT,8,RB6
13, Allen Robinson,WR,JAC,5,WR6
14, Lamar Miller,RB,HOU,9,RB7
15, Dez Bryant,WR,DAL,7,WR7
16, Doug Martin,RB,TB,6,RB8
17, Jordy Nelson,WR,GB,4,WR8
18, Mark Ingram,RB,NO,5,RB9
19, Brandon Marshall,WR,NYJ,11,WR9
20, Eddie Lacy,RB,GB,4,RB10
21, Alshon Jeffery,WR,CHI,9,WR10
22, LeSean McCoy,RB,BUF,10,RB11
23, Mike Evans,WR,TB,6,WR11
24, Sammy Watkins,WR,BUF,10,WR12
25, Jonathan Stewart,RB,CAR,7,RB12
26, Brandin Cooks,WR,NO,5,WR13
27, Carlos Hyde,RB,SF,8,RB13
28, Jordan Reed,TE,WAS,9,TE2
29, Amari Cooper,WR,OAK,10,WR14
30, Demaryius Thomas,WR,DEN,11,WR15
31, Keenan Allen,WR,SD,11,WR16
32, C.J. Anderson,RB,DEN,11,RB14
33, Jamaal Charles,RB,KC,5,RB15
34, Thomas Rawls,RB,SEA,5,RB16
35, Cam Newton,QB,CAR,7,QB1
36, T.Y. Hilton,WR,IND,10,WR17
37, Julian Edelman,WR,NE,9,WR18
38, Doug Baldwin,WR,SEA,5,WR19
39, Jarvis Landry,WR,MIA,8,WR20
40, Matt Forte,RB,NYJ,11,RB17
41, Jeremy Hill,RB,CIN,9,RB18
42, Jeremy Maclin,WR,KC,5,WR21
43, Randall Cobb,WR,GB,4,WR22
44, Eric Decker,WR,NYJ,11,WR23
45, Golden Tate,WR,DET,10,WR24
46, Donte Moncrief,WR,IND,10,WR25
47, Emmanuel Sanders,WR,DEN,11,WR26
48, Greg Olsen,TE,CAR,7,TE3
49, Aaron Rodgers,QB,GB,4,QB2
50, Russell Wilson,QB,SEA,5,QB3
51, Kelvin Benjamin,WR,CAR,7,WR27
52, Michael Floyd,WR,ARI,9,WR28
53, Larry Fitzgerald,WR,ARI,9,WR29
54, John Brown,WR,ARI,9,WR30
55, Latavius Murray,RB,OAK,10,RB19
56, Ryan Mathews,RB,PHI,4,RB20
57, DeMarco Murray,RB,TEN,13,RB21
58, Jeremy Langford,RB,CHI,9,RB22
59, Matt Jones,RB,WAS,9,RB23
60, Delanie Walker,TE,TEN,13,TE4
61, Andrew Luck,QB,IND,10,QB4
62, Melvin Gordon,RB,SD,11,RB24
63, Duke Johnson Jr.,RB,CLE,13,RB25
64, Danny Woodhead,RB,SD,11,RB26
65, Frank Gore,RB,IND,10,RB27
66, Rashad Jennings,RB,NYG,8,RB28
67, T.J. Yeldon,RB,JAC,5,RB29
68, Drew Brees,QB,NO,5,QB5
69, Ben Roethlisberger,QB,PIT,8,QB6
70, Jordan Matthews,WR,PHI,4,WR31
71, DeSean Jackson,WR,WAS,9,WR32
72, Marvin Jones,WR,DET,10,WR33
73, Giovani Bernard,RB,CIN,9,RB30
74, Arian Foster,RB,MIA,8,RB31
75, Ameer Abdullah,RB,DET,10,RB32
76, Chris Ivory,RB,JAC,5,RB33
77, Derrick Henry,RB,TEN,13,RB34
78, Carson Palmer,QB,ARI,9,QB7
79, Tom Brady,QB,NE,9,QB8
80, Allen Hurns,WR,JAC,5,WR34
81, Michael Crabtree,WR,OAK,10,WR35
82, DeVante Parker,WR,MIA,8,WR36
83, Tyler Lockett,WR,SEA,5,WR37
84, Kevin White,WR,CHI,9,WR38
85, Sterling Shepard,WR,NYG,8,WR39
86, Torrey Smith,WR,SF,8,WR40
87, Stefon Diggs,WR,MIN,6,WR41
88, Eli Manning,QB,NYG,8,QB9
89, Blake Bortles,QB,JAC,5,QB10
90, Philip Rivers,QB,SD,11,QB11
91, Travis Kelce,TE,KC,5,TE5
92, Coby Fleener,TE,NO,5,TE6
93, Tyler Eifert,TE,CIN,9,TE7
94, DeAngelo Williams,RB,PIT,8,RB35
95, Bilal Powell,RB,NYJ,11,RB36
96, Josh Gordon,WR,CLE,13,WR42
97, Willie Snead,WR,NO,5,WR43
98, Vincent Jackson,WR,TB,6,WR44
99, Tavon Austin,WR,LA,8,WR45
100, Jay Ajayi,RB,MIA,8,RB37
101, Devin Funchess,WR,CAR,7,WR46
102, Theo Riddick,RB,DET,10,RB38
103, Charles Sims,RB,TB,6,RB39
104, Isaiah Crowell,RB,CLE,13,RB40
105, James Starks,RB,GB,4,RB41
106, LeGarrette Blount,RB,NE,9,RB42
107, Spencer Ware,RB,KC,5,RB43
108, Terrance West,RB,BAL,8,RB44
109, Gary Barnidge,TE,CLE,13,TE8
110, Zach Ertz,TE,PHI,4,TE9
111, Antonio Gates,TE,SD,11,TE10
112, Corey Coleman,WR,CLE,13,WR47
113, Travis Benjamin,WR,SD,11,WR48
114, Michael Thomas,WR,NO,5,WR49
115, Will Fuller,WR,HOU,9,WR50
116, Tajae Sharpe,WR,TEN,13,WR51
117, Mike Wallace,WR,BAL,8,WR52
118, Mohamed Sanu,WR,ATL,11,WR53
119, Phillip Dorsett,WR,IND,10,WR54
120, Chris Hogan,WR,NE,9,WR55
121, Steve Smith Sr.,WR,BAL,8,WR56
122, Tyler Boyd,WR,CIN,9,WR57
123, Tevin Coleman,RB,ATL,11,RB45
124, Devontae Booker,RB,DEN,11,RB46
125, Darren Sproles,RB,PHI,4,RB47
126, James White,RB,NE,9,RB48
127, Markus Wheaton,WR,PIT,8,WR58
128, Kenny Stills,WR,MIA,8,WR59
129, Jerick McKinnon,RB,MIN,6,RB49
130, Christine Michael,RB,SEA,5,RB50
131, Tyrod Taylor,QB,BUF,10,QB12
132, Kirk Cousins,QB,WAS,9,QB13
133, Derek Carr,QB,OAK,10,QB14
134, Marcus Mariota,QB,TEN,13,QB15
135, Kenneth Dixon,RB,BAL,8,RB51
136, Julius Thomas,TE,JAC,5,TE11
137, Zach Miller,TE,CHI,9,TE12
138, Martellus Bennett,TE,NE,9,TE13
139, Jimmy Graham,TE,SEA,5,TE14
140, Eric Ebron,TE,DET,10,TE15
141, Seattle Seahawks,DST,SEA,5,DST1
142, Denver Broncos,DST,DEN,11,DST2
143, Carolina Panthers,DST,CAR,7,DST3
144, Cincinnati Bengals,DST,CIN,9,DST4
145, Houston Texans,DST,HOU,9,DST5
146, Kansas City Chiefs,DST,KC,5,DST6
147, Arizona Cardinals,DST,ARI,9,DST7
148, Stephen Gostkowski,K,NE,9,K1
149, Green Bay Packers,DST,GB,4,DST8
150, Oakland Raiders,DST,OAK,10,DST9
151, New England Patriots,DST,NE,9,DST10
152, Steven Hauschka,K,SEA,5,K2
153, Dan Bailey,K,DAL,7,K3
154, Justin Tucker,K,BAL,8,K4
155, Adam Vinatieri,K,IND,10,K5
156, Mason Crosby,K,GB,4,K6
157, Graham Gano,K,CAR,7,K7
158, Blair Walsh,K,MIN,6,K8
159, Chandler Catanzaro,K,ARI,9,K9
160, Matt Prater,K,DET,10,K10
161, Alfred Morris,RB,DAL,7,RB52
162, Shane Vereen,RB,NYG,8,RB53
163, Javorius Allen,RB,BAL,8,RB54
164, Chris Thompson,RB,WAS,9,RB55
165, Kamar Aiken,WR,BAL,8,WR60
166, Terrelle Pryor,WR,CLE,13,WR61
167, Breshad Perriman,WR,BAL,8,WR62
168, Eli Rogers,WR,PIT,8,WR63
169, Matthew Stafford,QB,DET,10,QB16
170, Andy Dalton,QB,CIN,9,QB17
171, Jameis Winston,QB,TB,6,QB18
172, DeAndre Washington,RB,OAK,10,RB56
173, Charcandrick West,RB,KC,5,RB57
174, Jason Witten,TE,DAL,7,TE16
175, Dwayne Allen,TE,IND,10,TE17
176, C.J. Spiller,RB,NO,5,RB58
177, Shaun Draughn,RB,SF,8,RB59
178, Tim Hightower,RB,NO,5,RB60
179, Dorial Green-Beckham,WR,PHI,4,WR64
180, Rishard Matthews,WR,TEN,13,WR65
181, Pierre Garcon,WR,WAS,9,WR66
182, Terrance Williams,WR,DAL,7,WR67
183, Anquan Boldin,WR,DET,10,WR68
184, Ka'Deem Carey,RB,CHI,9,RB61
185, Kenny Britt,WR,LA,8,WR69
186, Laquon Treadwell,WR,MIN,6,WR70
187, Chris Conley,WR,KC,5,WR71
188, Charles Clay,TE,BUF,10,TE18
189, Minnesota Vikings,DST,MIN,6,DST11
190, New York Jets,DST,NYJ,11,DST12
191, Roberto Aguayo,K,TB,6,K11
192, Chris Boswell,K,PIT,8,K12
193, Ryan Fitzpatrick,QB,NYJ,11,QB19
194, Ryan Tannehill,QB,MIA,8,QB20
195, Matt Ryan,QB,ATL,11,QB21
196, Braxton Miller,WR,HOU,9,WR72
197, Clive Walford,TE,OAK,10,TE19
198, Ted Ginn Jr.,WR,CAR,7,WR73
199, Jordan Howard,RB,CHI,9,RB62
200, Chris Johnson,RB,ARI,9,RB63
201, Justin Forsett,RB,BAL,8,RB64
202, C.J. Prosise,RB,SEA,5,RB65
203, Robert Kelley,RB,WAS,9,RB66
204, Reggie Bush,RB,BUF,10,RB67
205, Benjamin Cunningham,RB,LA,8,RB68
206, Cameron Artis-Payne,RB,CAR,7,RB69
207, Lance Dunbar,RB,DAL,7,RB70
208, Orleans Darkwa,RB,NYG,8,RB71
209, Jared Cook,TE,GB,4,TE20
210, Austin Seferian-Jenkins,TE,TB,6,TE21
211, Jamison Crowder,WR,WAS,9,WR74
212, Josh Doctson,WR,WAS,9,WR75
213, Sammie Coates,WR,PIT,8,WR76
214, Nelson Agholor,WR,PHI,4,WR77
215, Jaelen Strong,WR,HOU,9,WR78
216, Davante Adams,WR,GB,4,WR79
217, Charles Johnson,WR,MIN,6,WR80
218, Tyrell Williams,WR,SD,11,WR81
219, Kendall Wright,WR,TEN,13,WR82
220, Malcolm Mitchell,WR,NE,9,WR83
221, Buffalo Bills,DST,BUF,10,DST13
222, Los Angeles Rams,DST,LA,8,DST14
223, Cairo Santos,K,KC,5,K13
224, Brandon McManus,K,DEN,11,K14
225, Brock Osweiler,QB,HOU,9,QB22
226, Joe Flacco,QB,BAL,8,QB23
227, Jordan Cameron,TE,MIA,8,TE22
228, Victor Cruz,WR,NYG,8,WR84
229, Quinton Patton,WR,SF,8,WR85
230, Brandon LaFell,WR,CIN,9,WR86
231, Jermaine Kearse,WR,SEA,5,WR87
232, Robert Woods,WR,BUF,10,WR88
233, Seth Roberts,WR,OAK,10,WR89
234, Marqise Lee,WR,JAC,5,WR90
235, Mike Gillislee,RB,BUF,10,RB72
236, D.J. Foster,RB,NE,9,RB73
237, Wendell Smallwood,RB,PHI,4,RB74
238, Tyler Ervin,RB,HOU,9,RB75
239, Paul Perkins,RB,NYG,8,RB76
240, Dion Lewis,RB,NE,9,RB77
241, Kenyan Drake,RB,MIA,8,RB78
242, Zach Zenner,RB,DET,10,RB79
243, Jay Cutler,QB,CHI,9,QB24
244, Kyle Rudolph,TE,MIN,6,TE23
245, Jesse James,TE,PIT,8,TE24
246, Robert Turbin,RB,IND,10,RB80
247, Andre Ellington,RB,ARI,9,RB81
248, Kenjon Barner,RB,PHI,4,RB82
249, J.J. Nelson,WR,ARI,9,WR91
250, Rod Streater,WR,SF,8,WR92
251, Quincy Enunwa,WR,NYJ,11,WR93
252, Eddie Royal,WR,CHI,9,WR94
253, Indianapolis Colts,DST,IND,10,DST15
254, Jacksonville Jaguars,DST,JAC,5,DST16
255, Matt Bryant,K,ATL,11,K15
256, Nick Novak,K,HOU,9,K16
257, Virgil Green,TE,DEN,11,TE25
258, Vance McDonald,TE,SF,8,TE26
259, Crockett Gillmore,TE,BAL,8,TE27
260, Robert Griffin,QB,CLE,13,QB25
261, Alex Smith,QB,KC,5,QB26
262, Adam Humphries,WR,TB,6,WR95
263, Jared Abbrederis,WR,GB,4,WR96
264, Larry Donnell,TE,NYG,8,TE28
265, Will Tye,TE,NYG,8,TE29
266, Carson Wentz,QB,PHI,4,QB27
267, Dak Prescott,QB,DAL,7,QB28
268, Sam Bradford,QB,MIN,6,QB29
269, Trevor Siemian,QB,DEN,11,QB30
270, Blaine Gabbert,QB,SF,8,QB31
271, Ty Montgomery,WR,GB,4,WR97
272, Albert Wilson,WR,KC,5,WR98
273, Cole Beasley,WR,DAL,7,WR99
274, Andre Johnson,WR,TEN,13,WR100
275, Leonte Carroo,WR,MIA,8,WR101
276, Malcolm Brown,RB,LA,8,RB83
277, Alfred Blue,RB,HOU,9,RB84
278, Brandon Bolden,RB,NE,9,RB85
279, Josh Ferguson,RB,IND,10,RB86
280, Antonio Andrews,RB,TEN,13,RB87
281, Mike Davis,RB,SF,8,RB88
282, Fozzy Whittaker,RB,CAR,7,RB89
283, Fitzgerald Toussaint,RB,PIT,8,RB90
284, Jonathan Williams,RB,BUF,10,RB91
285, Baltimore Ravens,DST,BAL,8,DST17
286, Pittsburgh Steelers,DST,PIT,8,DST18
287, Dan Carpenter,K,BUF,10,K17
288, Mike Nugent,K,CIN,9,K18
289, Maxx Williams,TE,BAL,8,TE30
290, Ladarius Green,TE,PIT,8,TE31
291, Jacob Tamme,TE,ATL,11,TE32
292, Cameron Brate,TE,TB,6,TE33
293, Tyler Higbee,TE,LA,8,TE34
294, Pharoh Cooper,WR,LA,8,WR102
295, Adam Thielen,WR,MIN,6,WR103
296, Tony Romo,QB,DAL,7,QB32
297, Philadelphia Eagles,DST,PHI,4,DST19
298, Tampa Bay Buccaneers,DST,TB,6,DST20
299, Chicago Bears,DST,CHI,9,DST21
300, Detroit Lions,DST,DET,10,DST22
